Acc_Magnitude,Gyro_Magnitude
5.803843746624883,2.2920359672045922
6.54588426506602,2.5495556071147325
7.149886283835185,2.834052261342629
5.483990424306878,2.24061053455406
4.127633031410346,2.642893910193357
6.135965010880503,2.95747879248714
5.134624748119761,2.982857845594758
4.641890469429495,2.589607891162659
5.32756530913267,2.9137270247921365
6.000019993059802,2.8342765893626423
3.519484909050261,2.342384615030253
4.23798004116695,2.348078467239442
5.61193751286607,3.211084046838618
5.835050275379761,1.8388138250018964
4.015654883495497,1.9803778419064968
4.690519085390713,1.72913655110423
6.013176960319597,3.0458466938271185
3.0017352602028646,2.418925075067146
6.57318532238238,2.9422233918544363
4.413929613780294,2.443478319629756
5.048469552853966,2.8622371182202837
4.422959085500194,1.5402251803013487
3.930067486674441,2.6021552616675203
4.626103275266616,2.2657283229869027
5.095985348811497,2.6120548657022864
4.575845293207829,2.598406416853249
4.012784706849101,1.7649655744003363
4.37901450125904,2.0940822133338965
5.995595902841899,2.7754567267486054
3.9871348148770482,2.136462412168772
4.789248077316618,2.5773188913793956
3.5110140376561314,2.368883081345684
3.698835088117636,2.925265433591176
5.713129804629148,2.533471075043948
4.1308031070600535,2.3858945109322103
6.714030354737726,3.1594497602539033
4.224407738955948,2.542656208895921
4.16591491068867,2.469927175848869
3.3607790288491164,2.260189624120716
6.354662889456829,2.0439582075912957
3.8028568052421297,2.4190853679081217
6.58549458941748,2.4824865278322505
6.855231901714828,2.6788875102198957
6.730101263419363,3.0013402171450454
6.832511063858621,3.1016155832328747
6.46713595710047,2.913325954979721
4.855998819502122,2.0925961271502214
4.6872986968375505,2.6421220490995716
6.188433324750282,2.315737270654412
4.644766028622466,1.9773400029217925
