Acc_Magnitude,Gyro_Magnitude
5.150961925486271,1.4104734618834291
5.369137265970974,1.724267776876757
5.9168522691792385,1.5990360159883281
4.297193726675299,1.106812580028024
4.757186802091075,1.311995838905712
6.05696821247142,1.4456728465080368
2.632761660983361,1.2815241431016944
4.246007013917852,1.2938949319106996
5.603938881157007,1.4836726261020616
5.935797926399706,1.4450444175251476
2.3265663684086775,1.2427451408539296
4.064437974260124,0.9728257572632414
4.735774685189814,1.3344590724222882
5.4476512479122485,1.0078984689432615
3.6214191030138894,0.9195539905359963
3.904366502833782,0.8219187395546694
5.162009371750461,1.4472421293686448
1.2857468830637442,1.2651708644171804
5.5562803712933695,1.3871099049512756
