Acc_Magnitude,Gyro_Magnitude
5.3244123914361206,2.3393849228130783
6.15497674192306,2.882107011067533
3.3447191005241588,2.5669175023541486
5.364044768523613,2.9391893362646435
4.505871080502784,1.9114531285338763
4.505871080502784,1.9114531285338763
4.764192978958057,2.5799226150980132
5.89472487387077,2.5148948032223584
5.963532569174384,2.5113550049599787
6.962208458310858,3.142525686810039
7.009451911622193,2.6542342193826944
6.628114972477866,2.6962410921351205
6.9749445763596825,2.9762636991442433
3.653451344946098,2.278649882141664
6.132313183497308,2.8815827962259304
4.0909291429679016,2.2632762606965042
5.122988560394236,2.186305731578686
5.4918247008823995,2.507462824192808
5.511507756672188,2.9321822019177426
5.612101637028009,1.6689943262800664
