Acc_Magnitude,Gyro_Magnitude
5.3244123914361206,1.3415363327526484
6.15497674192306,1.606117347710226
3.3447191005241588,1.5079597730436072
5.364044768523613,1.688724194218181
4.505871080502784,0.959251100368815
4.505871080502784,0.959251100368815
4.764192978958057,1.6237038832219752
5.89472487387077,1.305006167130159
5.963532569174384,1.524903510279507
6.962208458310858,2.0437593671761833
7.009451911622193,1.7576473992331774
6.628114972477866,1.6133002001552208
6.9749445763596825,1.7805509041459042
3.653451344946098,1.3151284660009268
6.132313183497308,1.8223814288814384
4.0909291429679016,1.584336226788182
5.122988560394236,1.477722263454554
5.4918247008823995,1.6112162738284108
5.511507756672188,1.8364401975301834
5.612101637028009,1.3312162754356898
